date,kse_close
2010-01-04,9437.849999999999
2010-01-05,9659.27
2010-01-06,9727.359999999999
2010-01-07,9737.47
2010-01-08,9776.210000000001
2010-01-11,9797
2010-01-12,9778.359999999999
2010-01-13,9784.849999999999
2010-01-14,9802.449999999999
2010-01-15,9923.140000000001
2010-01-18,9895.46
2010-01-19,9954.41
2010-01-20,9904.740000000002
2010-01-21,9753.84
2010-01-22,9774.07
2010-01-25,9689.2
2010-01-26,9666.48
2010-01-27,9603.55
2010-01-28,9579.81
2010-01-29,9614.19
2010-02-01,9591.5
2010-02-02,9595.240000000002
2010-02-03,9627.630000000001
2010-02-04,9769.730000000001
2010-02-08,9809.98
2010-02-09,9786.46
2010-02-10,9733.359999999999
2010-02-11,9802.8
2010-02-12,9805.869999999999
2010-02-15,9701.81
2010-02-16,9769.68
2010-02-17,9867.09
2010-02-18,9889.3
2010-02-19,9902.62
2010-02-22,9953.07
2010-02-23,9823.57
2010-02-24,9686.18
2010-02-25,9667.17
2010-02-26,9657.79
2010-03-01,9498.56
2010-03-02,9546.38
2010-03-03,9419.43
2010-03-04,9511.53
2010-03-05,9626.29
2010-03-08,9740.19
2010-03-09,9787.03
2010-03-10,9784.98
2010-03-11,9879.7
2010-03-12,10025.99
2010-03-15,10088.449999999999
2010-03-16,10017.710000000001
2010-03-17,9989.81
2010-03-18,10007.869999999999
2010-03-19,10000.93
2010-03-22,9963.349999999999
2010-03-24,10146.27
2010-03-25,10127.03
2010-03-26,10137.93
2010-03-29,10056.46
2010-03-30,10073.76
2010-03-31,10178.43
2010-04-01,10246.77
2010-04-02,10416.51
2010-04-05,10447.84
2010-04-06,10419.82
2010-04-07,10523.01
2010-04-08,10533.57
2010-04-09,10586.46
2010-04-12,10557.19
2010-04-13,10506.2
2010-04-14,10570.88
2010-04-15,10677.47
2010-04-16,10659.210000000001
2010-04-19,10669.88
2010-04-20,10641.52
2010-04-21,10590.210000000001
2010-04-22,10615.15
2010-04-23,10607.03
2010-04-26,10556.369999999999
2010-04-27,10556.38
2010-04-28,10519.02
2010-04-29,10454.630000000001
2010-04-30,10428.12
2010-05-03,10389.46
